sum_response_time,number_of_received_responses,number_of_sent_requests
7367690,519751,521390
7375121,520274,521914
7380105,520620,522261
7386756,521081,522724
7390890,521363,523007
7397216,521802,523448
7404197,522281,523928
7405895,522401,524050
7407639,522524,524176
7412378,522855,524509
7415677,523093,524749
7419913,523391,525049
7423927,523670,525330
7430740,524153,525814
7434622,524427,526090
7441427,524921,526585
7448343,525405,527070
7449797,525508,527175
7458797,526151,527819
7465469,526624,528293
7470686,526992,528662
7479233,527586,529257
7488887,528265,529936
7489905,528339,530013
7496777,528832,530507
7500505,529082,530759
7507288,529549,531227
7517302,530246,531924
7521160,530508,532188
7528048,530997,532678
7538055,531694,533375
7547330,532346,534027
7554697,532857,534539
7561558,533345,535028
7568779,533854,535538
7573566,534194,535879
7578326,534525,536212
7581463,534743,536432
7590032,535334,537024
7598360,535912,537602
7605080,536383,538074
7610932,536808,538501
7617777,537299,538993
7622226,537613,539308
7628584,538063,539760
7635563,538546,540244
7639481,538816,540516
7645080,539231,540932
7653293,539792,541494
7659841,540243,541946
7664724,540586,542290
7670578,540995,542701
7677376,541469,543176
7684339,541955,543663
7690551,542395,544104
7694870,542699,544410
7701862,543193,544905
7711858,543879,545591
7718812,544370,546083
7727883,544999,546712
7732673,545335,547050
7739457,545808,547524
7746398,546307,548024
7750142,546574,548293
7755984,546979,548699
7760885,547320,549042
7766312,547706,549429
7769440,547924,549649
7778488,548555,550281
7787203,549153,550879
7792178,549508,551236
7797826,549892,551621
7801599,550157,551888
7804393,550360,552093
7809059,550681,552416
7813065,550961,552698
7820950,551497,553235
7830949,552202,553940
7834784,552466,554206
7838462,552730,554472
7846439,553291,555033
7852291,553693,555437
7858639,554133,555878
7865786,554620,556366
7868732,554829,556577
7876516,555384,557133
7883311,555855,557605
7887258,556129,557880
7893992,556603,558356
7904004,557315,559068
7911378,557838,559591
7917743,558288,560043
7920575,558489,560246
7925129,558811,560570
7932115,559299,561059
7939000,559792,561553
7946286,560339,562100
7955801,561058,562820
7960425,561412,563175
7968464,562012,563776
7973391,562372,564137
7979634,562835,564602
7986917,563348,565116
7990551,563607,565377
7999410,564233,566003
8001432,564382,566155
8008425,564900,566673
8018342,565589,567363
8025279,566084,567859
8031011,566478,568254
8035709,566803,568581
8041548,567223,569002
8045437,567502,569283
8046427,567579,569363
8049846,567823,569609
8057587,568365,570152
8064397,568849,570637
8071365,569326,571115
8080863,570002,571791
8084969,570285,572076
8094973,570971,572762
8100418,571351,573143
8105503,571702,573496
8108597,571926,573722
8113051,572234,574031
8115948,572432,574232
8120391,572756,574558
8130382,573451,575253
8134281,573728,575532
