server_0,server_1,server_2
60789332,64510903,56752171
60864644,64586216,56827483
60934737,64656309,56897576
61005373,64726945,56968212
61075168,64796739,57038007
61147190,64868761,57110029
61218636,64940208,57181476
61291202,65012773,57254041
61357822,65079394,57320661
61428586,65150158,57391426
61501631,65223203,57464471
61573919,65295491,57536759
61640050,65361621,57602889
61712096,65433668,57674936
61784893,65506464,57747732
61857482,65579053,57820321
61929886,65651458,57892726
61996402,65717974,57959242
62068980,65790552,58031820
62141427,65862998,58104266
62215741,65937313,58178580
62286476,66008047,58249315
62357864,66079436,58320703
62427980,66149552,58390820
62501959,66223531,58464798
62577527,66299098,58540366
62649054,66370625,58611893
62720241,66441813,58683080
62790952,66512523,58753791
62861875,66583447,58824715
62934280,66655852,58897120
63002431,66724003,58965271
63077887,66799459,59040727
63152256,66873828,59115096
63225463,66947034,59188302
63291382,67012954,59254222
63362467,67084039,59325307
63432144,67153715,59394983
63502537,67224108,59465376
63572498,67294069,59535337
63644392,67365964,59607231
63715790,67437362,59678630
63786682,67508253,59749521
63856445,67578017,59819285
63928765,67650337,59891604
63996421,67717992,59959260
64066728,67788300,60029568
64135675,67857247,60098514
64204794,67926366,60167633
64274689,67996260,60237528
64346828,68068400,60309668
64416712,68138283,60379551
64485778,68207350,60448618
64557066,68278638,60519906
64628390,68349962,60591230
64699363,68420935,60662202
64773562,68495134,60736401
64845702,68567273,60808541
64917163,68638734,60880002
64990439,68712011,60953278
65065230,68786802,61028070
65131280,68852852,61094120
65198089,68919661,61160929
65262096,68983667,61224935
65333452,69055023,61296291
65408473,69130045,61371313
65483540,69205112,61446380
65555683,69277255,61518522
65628629,69350201,61591469
65699200,69420771,61662039
65771640,69493211,61734479
65845856,69567428,61808696
65918831,69640402,61881670
65992350,69713922,61955189
66063844,69785416,62026683
66134608,69856180,62097447
66205220,69926792,62168059
66278310,69999882,62241150
66350290,70071862,62313129
66420251,70141822,62383090
66489602,70211174,62452441
66561805,70283377,62524644
66630912,70352483,62593751
66705406,70426978,62668245
66779602,70501173,62742441
66851441,70573013,62814281
66924788,70646359,62887627
66995381,70716953,62958221
67069602,70791174,63032442
67146307,70867879,63109146
67218480,70940052,63181320
67287356,71008928,63250196
67360850,71082422,63323690
67431911,71153482,63394750
67502450,71224022,63465290
67574648,71296220,63537487
67645661,71367233,63608501
67718564,71440136,63681404
67792343,71513914,63755182
67857267,71578839,63820106
67930923,71652495,63893762
68006051,71727623,63968890
68077332,71798904,64040171
68150662,71872233,64113501
68222180,71943751,64185019
68293803,72015374,64256642
68363768,72085340,64326608
68432717,72154289,64395557
68503486,72225058,64466325
68574243,72295815,64537083
68648109,72369681,64610949
68716021,72437593,64678860
68789653,72511224,64752492
68862406,72583977,64825245
68932255,72653826,64895094
69003563,72725135,64966402
69075480,72797052,65038320
69148882,72870453,65111721
